Topic,Count,Name,Representation,Representative_Docs
9,1192,9_europian_bashkimit_be_integrimit,"['europian', 'bashkimit', 'be', 'integrimit', 'europiane', 'bashkimin', 'europa', 'europës', 'bashkimi', 'integrimin']","['Ju e dini, të nderuar kolegë, se për sa i përket procesit të integrimit tonë në Bashkimin Europian për këto 3 fusha kryesore përgjigjet Këshilli i Europës.', 'Kuvendi do të vazhdojë të udhëheqë procesin e integrimit europian, duke garantuar legjitimitetin demokratik të këtij procesi, si dhe, nëpërmjet forcimit të kapaciteteve të Komisionit të Integrimit Europian dhe Këshillit Kombëtar të Integrimit Europian, forcimin e kapaciteteve institucionale të Kuvendit për kontrollin e përputhshmërisë së projektligjeve me standardet e BE-së; monitorimin e përmbushjes së detyrimeve nga qeveria dhe institucionet e pavarura që rrjedhin nga procesi i integrimit.', 'Dëgjova këtu që u përshëndetëm pse kemi arritur një marrëveshje me një vend të Bashkimit Europian, por, në fakt, doja të thosha se kjo nuk është marrëveshja e parë me një vend të Bashkimit Europian, sepse Belgjika është vend i Bashkimit Europian dhe ne kemi marrëveshje; Luksemburgu është vend i Bashkimit Europian dhe ne kemi marrëveshje; Hungaria është vend i Bashkimit Europian dhe ne kemi marrëveshje; Çekia është vend i Bashkimit Europian dhe ne kemi marrëveshje; Gjermania është vend i Bashkimit Europian dhe ne kemi marrëveshje; Austria është vend i Bashkimit Europian dhe ne kemi marrëveshje; Zvicra nuk është në Bashkimin Europian, por është në Europë, dhe ne kemi marrëveshje; Kroacia është vend i Bashkimit Europian dhe ne kemi marrëveshje; Bullgaria është vend i Bashkimit Europian dhe ne kemi marrëveshje.']"
10,1175,10_energjisë_elektrike_energji_energjinë,"['energjisë', 'elektrike', 'energji', 'energjinë', 'energjetike', 'ere', 'energjia', 'çmimit', 'energjetik', 'orë']","['Rritja e konsumit të energjisë elektrike për vitin 2021, krahasuar me vitin 2020, shkon deri ne rreth 11%.', 'Enti Rregullator i Energjisë, pas 28 vjetësh, ka një histori suksesi, sepse ka stabilizuar sektorin e energjisë elektrike, ka miratuar aktet rregullatore në fushën e prodhimit, të transmetimit, të shpërndarjes, tregtimit dhe furnizimit me energji elektrike dhe ka realizuar rekomandimet e rezolutës së Kuvendit.', 'zë 58, 3% të të gjithë prodhimit të energjisë elektrike në vendin tonë, dhe prodhimi i energjisë elektrike nga prodhuesit e tjerë zë rreth 41,7%.']"
11,1157,11_parlament_parlamenti_parlamentit_deputetët,"['parlament', 'parlamenti', 'parlamentit', 'deputetët', 'deputetëve', 'parlamentin', 'kuvendit', 'parlamentare', 'parlamentar', 'rregulloren']","['Pra, këtu të gjitha veprimet bëhen në kundërshtim me Rregulloren. Pa dyshim, kjo është shkelja më e rëndë e punës së këtij Kuvendi, është elementi kryesor, ku ky Kuvend duhet të përqendrohet, mazhorancë dhe opozitë së bashku, për të rivendosur rregullat e lojës, për të rivendosur Rregulloren e këtij Parlamenti, ndryshe ky Parlament funksionon kot dhe nuk mund të quhet kurrë parlament.', 'Të gjithë kolegët që janë sot në parlament e dinë që unë e kam përdorur seancën plenare, Kuvendin, komisionet parlamentare në maksimum, duke shfrytëzuar çdo hapësirë parlamentare që më ka dhënë parlamenti, por kjo gjë sot po bëhet e papranueshme, po bëhet shumë e vështirë për t’u realizuar nga opozita.', 'Besoj se na përket ne, si deputetë të Parlamentit, ta bëjmë këtë, sepse askush nuk duhet të ketë frikë nga ligji më shumë sesa ata që e miratojnë ligjin, dhe jemi ne në këtë sallë parlamenti.']"
12,1097,12_legjislatura_viti_10_2024,"['legjislatura', 'viti', '10', '2024', '2022', '2023', 'faleminderit', 'ndërhyrje', 'mikrofon', 'lindita']","['Faleminderit! Lindita Nikolla - Kush e do fjalën nga anëtarët e Viti 2023 78 Legjislatura e 10-të komisionit?', '69 Legjislatura e 10-të Viti 2022 Lindita Nikolla – Mos flisni nga vendi! Të lutem, zoti Bardhi!', 'Faleminderit! Lindita Nikolla – Faleminderit! Viti 2024 18 Legjislatura e 10-të Fjala për zoti Dogjani.']"
13,1031,13_rama_edi_ramës_tij,"['rama', 'edi', 'ramës', 'tij', 'ramën', 'ai', 'kryeministri', 'mcgonigal', 'arben', 'ka']","['Edmond Spaho – Nëse nuk doni ta bëni, kjo do të thotë se ju keni frikë nga Edi Rama dhe nuk bëni dot asnjë veprim pa marrë leje nga Edi Rama.', 'Shumë kolegë u shprehën se Edi Rama nuk foli Viti 2023 264 Legjislatura e 10-të sot, por Edi Rama foli shumë, Edi Rama nuk u fsheh, Edi Rama foli me zë të lartë.', 'Jo, i jep Edi Rama. Ja, pra, pse duhej të vinte Edi Rama në komisionin hetimor.']"
14,1025,14_berisha_sali_zoti_berishën,"['berisha', 'sali', 'zoti', 'berishën', 'berishës', 'deputeti', 'lindita', 'nikolla', 'mbaroi', 'koha']","['Dhe asnjë herë s’kam qenë kundër tyre. Lindita Nikolla – Mbaroi koha, zoti Berisha. (Deputeti Sali Berisha vazhdon të flasë pa mikrofon.) Uluni në vend, zoti Berisha.', 'Faleminderit! Lindita Nikolla – Fjala për zotin Sali Berisha. Të përgatitet zonja Elisa Spiropali. Zoti Berisha 8 minuta keni në dispozicion.', 'Ermonela Felaj - Zoti Berisha, nuk kishte replikë me ju zoti ministër. Sali Berisha – Të lutem shumë!']"
15,788,15_ujë_ujit_pijshëm_uji,"['ujë', 'ujit', 'pijshëm', 'uji', 'ujësjellës', 'ujin', 'orë', 'ujërave', 'ujësjellësit', 'kanalizimeve']","['Po u merret jo vetëm uji për vaditje, por edhe uji i pijshëm. Banorët e dinë se pa ujë nuk ka jetë.', 'Gjithashtu, zonat ku ka 24 orë ujë të pijshëm, nga 5 % që ishin më parë, sot janë në 62%.', 'Ata nuk po kërkojnë gjëra të tjera, por ujë të pijshëm. Malësinë e Madhe e ke pa ujë të pijshëm, e nderuar.']"
16,770,16_korrupsionit_korrupsioni_korrupsionin_korrupsion,"['korrupsionit', 'korrupsioni', 'korrupsionin', 'korrupsion', 'korruptive', 'korruptuar', 'luftën', 'luftuar', 'lufta', 'antikorrupsion']","['Jo, lufta kundër korrupsionit është detyrë e të gjitha agjencive ligjzbatuese në vend. Nuk mund ta zhvillojë luftën kundër korrupsionit vetëm një agjenci.', 'Është arritur shumë me politikat dhe strategjitë e ndjekura për modernizimin e shtetit, për mirëqeverisjen edhe në luftën kundër korrupsionit, veçanërisht me uljen e korrupsionit të vogël në sportele me digjitalizimin e shërbimeve, me zvogëlimin e hapësirave ligjore të korrupsionit, me modernizimin e menaxhimit të fondeve publike, por jemi të vetëdijshëm se nuk mjafton; jemi të vetëdijshëm se lufta kundër korrupsionit duhet të shtrihet në mënyrë kapilare në të gjithë sektorët publikë, qofshin ato institucione të pushtetit qendror apo ato të pavarura në të gjitha institucionet që menaxhojnë fondet publike, në të gjitha institucionet me karakter financiar dhe kontrollues, që kanë përgjegjësi kryesore luftën kundër korrupsionit, jo të bëhen burim korrupsioni në financat e partive politike, në sektorët më nevralgjikë, me perceptimin më të lartë për korrupsionin, siç janë: tatimet, doganat apo spote të tjera të rrezikuara si pronat nga korrupsioni, që janë evidentuar edhe nga Bashkimi Europian.', 'Nëse do ta luftojmë me të vërtetë korrupsionin dhe ju, kolegë, keni vullnet për këtë, hajdeni ta fillojmë luftën ndaj korrupsionit te korrupsioni zgjedhor, meqenëse jemi në prag të zgjedhjeve, dhe pastaj të mendojmë edhe për gjithë të tjerat.']"
17,758,17_vendore_territoriale_prefektit_vendor,"['vendore', 'territoriale', 'prefektit', 'vendor', 'prefekti', 'lokal', 'bashkive', 'pushtetit', 'bashki', 'reforma']","['Ne duam të forcojmë rolin e prefektit në nivel vendor, si përfaqësues i Këshillit të Ministrave në territor, duke rievidentuar kompetencat në përmbushjen e detyrave, po ashtu, të rrisim eficiencën, të konsolidojmë performancën e institucionit të prefektit në ofrimin e shërbimeve më cilësore, por duke i shkuar me intensitet qasjes sonë për një qeverisje më pranë qytetarëve, në marrëdhënien që ka institucioni i prefektit, edhe si koordinator mes institucioneve të qeverisjes qendrore dhe pushtetit vendor.', 'Të nderuar kolegë, Të nderuar qytetarë, Me ligjin organik të vitit 2015 njësive të vetëqeverisjes vendore iu përcaktuan tetë fusha kryesore të përgjegjësisë vendore, me 47 funksione, 7 nga të cilat transferoheshin për herë të parë nën kompetencën vendore pas reformës territoriale të vitit 2014.', '2. Vetë qeveria thotë: “Bashkëpunimi ndërmjet institucionit të prefektit dhe njësive të vetëqeverisjes vendore nuk është në nivelin e duhur, si dhe ka mungesë të njoftimit të prefektit për ndryshime thelbësore në drejtoritë/degët e qeverisjes qendrore në qark”.']"
18,706,18_turizmit_turizmi_turistike_turistik,"['turizmit', 'turizmi', 'turistike', 'turistik', 'turizmin', 'turizëm', 'turistëve', 'turistët', 'turistë', 'turistikë']","['Më lejoni të theksoj se ky lloj turizmi është një aktivitet i ri në sektorin e turizmit.', 'Ky është një turp i madh! Trumbetoni turizmin. Për çfarë turizmi flisni? Turizëm pa rrugë?', 'Sipas mendimit tim, në mënyrë të përmbledhur, turizmi në qytetin e Vlorës mund të karakterizohet si një turizëm që nuk është i orientuar me politika të drejta dhe të sakta, por me problematika të ndryshme, të shumta dhe të mprehta, si, për shembull: - mungon një sistem, që të lehtësojë çdo procedurë të investimeve në fushën e turizmit, me prioritet turizmin lokal; - zyrat e turizmit në bashkitë Vlorë, Sarandë dhe Himarë nuk kanë staf të kualifikuar dhe nuk kanë programe të qarta, programe konkrete pune; - mungon një strategji dhe një plan konkret nga qeveria për uljen e barrës fiskale në industrinë e turizmit, për të unifikuar në nivelin e ulët TVSH-në për njësitë akomoduese dhe për restorantet e baret turistike, gjë që e kemi ngritur edhe kur kemi diskutuar për paketën fiskale; - tour -operatorët ndihen krejtësisht të pambështetur; mungon suporti në promovimin e paketave të tyre turistike; mungon mbështetja financiare; ka nevojë për ulje deri në zerim të taksave vendore, ulje të taksave dhe tarifave kombëtare, si dhe për programe qeveritare për zhvillimin e ofertave turistike në trekëndëshat e artë të atraksionit vlonjat, si: Vlorë-fshatrat e Lumit të Vlorës-Kaninë; Himarë-Kuç-Kanionet e Kurveleshit; Dukat-Tragjas-Rradhimë; Vlorë- Himarë-Delvinë e të tjera; - largimet masive të rinisë kanë sjellë mungesë të theksuar të stafeve në sektorin e turizmit, duke e dëmtuar seriozisht atë dhe duke vënë në pikëpyetje cilësinë e shërbimeve turistike; 223 Legjislatura e 10-të Viti 2023 - ka mungesë të shkollave apo të kualifikimeve profesionale në qytet dhe në qark, të cilat duhet të jenë të aksesueshme, si dhe duhet të ketë politika motivuese për to, por dhe marketing të gjerë, për të nxitur të rinjtë të trajnohen (të famshmes Shkollës Tregtare të Vlorës i ka humbur shkëlqimi); - mungon një program i dedikuar për trajnimin e vazhdueshëm në distancë të personelit të njësive akomoduese të qarkut të Vlorës, të guidave turistike e të tjerë; - nuk ka asnjë plan dhe asnjë masë konkrete për fuqizimin e mjeteve detare të operatorëve turistikë të qarkut të Vlorës; - vijon të jetë kronike në qarkun e Vlorës problematika e mprehtë e derdhjes së ujërave të zeza në det; - mjedisi turistik, sidomos gjatë fluksit turistik në verë, nuk mirëmbahet dhe nuk ruhet, as në qytet dhe as në të gjithë qarkun; - mungojnë investimet në menaxhimin e mbetjeve dhe të ujërave të zeza dhe të bardha, bashkë me kujdesin për mjedisin; - mungojnë rimbursimet ndaj aktivitetit turistik për periudhat jashtë sezonit veror, të cilat janë të shumta në të gjitha vendet e rajonit; - TEC-et lundruese, që ju si mazhorancë, ia bëtë peshqesh Vlorës, ndikojnë negativisht në florën dhe faunën e Vlorës; - mungojnë kontrollet supervizuese dhe suportuese e të tjerë.']"
19,674,19_drejtësi_drejtësia_drejtësisë_drejtësinë,"['drejtësi', 'drejtësia', 'drejtësisë', 'drejtësinë', 'reformën', 'reforma', 'reformës', 'drejtësie', 're', 'reformë']","['Reformë në drejtësi është kjo?! Cila është reforma në drejtësi?! Pse duhet të jetë ky perceptim për reformën në drejtësi?', 'E thashë edhe një herë, që kam qenë dhe jam për reformën në drejtësi, por jo për këtë reformë në drejtësi.', 'Më thoni, të nderuar kolegë, ku është drejtësia këtu? Edhe nëse ka drejtësi ligjore, nuk ka drejtësi morale.']"
20,649,20_pisa_arsimit_studentët_universitetet,"['pisa', 'arsimit', 'studentët', 'universitetet', 'shqipëri', 'universiteteve', 'arsimin', 'arsimi', 'studentë', 'universitetit']","['Për Shqipërinë, ju mund ta mohoni, por tërmeti i vitit 2019 ishte një shkak, i cili solli një tjetër pasojë, sepse 50% e studentëve dhe e nxënësve, që morën pjesë në PISA, ishin nga këto zona.', 'Të gjitha universitetet janë angazhuar, madje jo vetëm universitetet shtetërore, por edhe ato private. Nga ana tjetër, programi i Bashkimit Europian, Horizont Europa, ka një rritje të ndjeshme të aplikimeve për projekte nga universitetet shqiptare, si dhe një rritje të suksesit të këtyre universiteteve.', 'Siç e dini, në vitet e kaluara studentët shqiptarë me rezultate të larta mbështeteshin për të studiuar në universitetet më të mira prestigjioze europiane apo botërore, por duke pasur prioritet politikën e qeverisë, që të rinjtë e të rejat të studiojnë në Shqipëri dhe të japin kontribut për vendin, paralelisht kjo edhe me politikën e ndërkombëtarizimit të universiteteve për të rritur cilësinë e arsimit të lartë, ne, bashkë edhe me kartën e prioriteteve, për të cilën, javën që vjen, del edhe drafti përfundimtar për të kaluar me vendim të Këshillit të Ministrave, do të nxisim me bursa dhe përjashtim nga tarifat studentët që shkojnë në degët prioritare, të cilat janë prioritet për zhvillimin e vendit, apo degët, ku numri i regjistrimeve dhe interesi i studentëve vitet e fundit ka rënë.']"
21,640,21_ardhurat_tatimit_taksa_tatim,"['ardhurat', 'tatimit', 'taksa', 'tatim', 'taksat', 'tatimi', 'tatimore', 'tatimin', 'taksë', 'tatohen']","['Së treti, kemi rishikuar fashën e sipërme të tatimit progresiv, ku tatimi mbi të ardhurat personale në masën 23% është vendosur të aplikohet për pagat mbi 200 mijë lekë në muaj, nga 150 mijë lekë në muaj që ishte më parë.', 'Të ardhurat minimale deri në 50 mijë lekë të rinj ose 500 mijë lekë të vjetër, i kemi me tatim zero.', 'Tatimi mbi të ardhurat nga punësimi. 2. Tatimi mbi të ardhurat nga biznesi për personat fizikë.']"
22,611,22_ruse_ukrainë_rus_ukrainës,"['ruse', 'ukrainë', 'rus', 'ukrainës', 'rusia', 'rusisë', 'lufta', 'agresioni', 'agresionin', 'ukraina']","['Kjo tregon faktin që agresioni rus në Ukrainë ndikon në Shqipëri më shumë se në vendet e tjera, sepse ne në Shqipëri kemi Edi Ramën.', 'Shqipëria dënon me forcë agresionin ushtarak rus në Ukrainë dhe shkeljen e rëndë nga ana e Federatës Ruse të sovranitetit dhe tërësisë territoriale të Ukrainës, si një akt që dhunon rendin ndërkombëtar.', 'Nuk ka lidhje vetëm më agresionin rus në Ukrainë. Po, ka rritje edhe prej agresionit rus në Ukrainë, por rritja më e madhe ka ardhur si rezultat i çmimit të karburantit, i çmimit të energjisë që lidhen me vendimmarrjen e kësaj qeverie.']"
23,586,23_procedurë_fjalën_procedurës_mikrofon,"['procedurë', 'fjalën', 'procedurës', 'mikrofon', 'ndërhyrje', 'lutem', 'procedurën', 'lindita', 'nikolla', 'pa']","['(Ndërhyrje pa mikrofon) Ju e kërkoni fjalën për procedurë? (Ndërhyrje pa mikrofon) Shpresoj ta keni fjalën për procedurë!', 'Ju lutem! (Ndërhyrje pa mikrofon) Për çfarë e keni kërkuar fjalën? (Ndërhyrje pa mikrofon) Nuk ka procedurë tani.', '(Ndërhyrje pa mikrofon) Vetëm për procedurë. (Ndërhyrje pa mikrofon) Le ta marrë fjalën për procedurë.']"
24,560,24_mikrofon_ndërhyrje_pa_salla,"['mikrofon', 'ndërhyrje', 'pa', 'salla', 'lutem', 'ti', 'uluni', 'unë', 'ke', 'ty']","['(Ndërhyrje pa mikrofon nga salla) Nuk është vetëm fjala juaj fakti kryesor. (Ndërhyrje pa mikrofon nga salla) A ka mundësi të vazhdojmë?', '(Ndërhyrje nga salla pa mikrofon) Po, e kam në Rregullore. (Ndërhyrje nga salla pa mikrofon) Ju lutem, 10 minuta!', '(Ndërhyrje pa mikrofon) Të lutem, mos, sepse ti e di... (Ndërhyrje pa mikrofon) Se nuk po them tani që ...']"
25,540,25_socialiste_partia_demokratike_partisë,"['socialiste', 'partia', 'demokratike', 'partisë', 'partinë', 'socialistë', 'socialistët', 'demokratët', 'socialist', 'parti']","['Këto para nuk i gjeni dhe nuk keni për t’i gjetur ndonjëherë të Partia Socialiste.', 'Madje, citoj shprehjen e kryetarit të Partisë Komuniste, i cili duke lavdëruar Partinë Demokratike të zotit Leskaj thotë: “Sot Partia Demokratike është pastruar nga servilët, i ka marrë të gjitha Partia Socialiste”.', 'Partia Demokratike sot nuk është në situatën më të mirë. Unë e di, doja që Partia Demokratike të ishte sot në qeverisje.']"
26,523,26_rruga_rrugë_kilometra_rrugët,"['rruga', 'rrugë', 'kilometra', 'rrugët', 'rrugën', 'rrugës', 'rrugëve', 'fshatrat', 'administrative', 'fshatrave']","['Si do të zgjidhet problemi i rrugëve lidhëse me ish-komunat? 3 kilometra, 5 kilometra apo 7 kilometra rrugë duhen për t’u lidhur me asfaltin e 10 apo 15 vjetëve.', 'Në njësinë administrative Fajza: rruga Sefoll; rruga Fajza – Likeni i Kuq; rruga Tobël – fshati Metaliaj; rruga Tregtan – Brenogë ; rruga e Vranishtit; rruga Helshan qendër – fshati Kostur; rruga Golaj – Dobrune; rruga e Qafë-Prushit; rruga e Nikoliqit.', 'Në njësinë administrative Nikaj-Mërtur gjendja është shumë e keqe, kryesisht në rrjetin e infrastrukturës rrugore dhe atë të transmetimit të energjisë elektrike, konkretisht: rruga kryesore Fierzë – Lekbibaj është e dëmtuar dhe kërkon ndërhyrje urgjente për riparim dhe mirëmbajtje, në mënyrë që të bëhet i mundur frenimi i shkatërrimit të asfaltit; rruga qendër Lekbibaj – Vranë është e dëmtuar, rruga Curraj i Epërm është e bllokuar; rruga Salcë-Brisë është e bllokuar; rruga qendër Lekbibaj – Qafë-Kolç është e dëmtuar totalisht; rruga Bushat – Gjonpepaj – Stakaj është bllokuar totalisht; rruga Vranë – Kotec është dëmtuar; rruga në lagjen Kapit i Poshtëm është dëmtuar komplet.']"
27,518,27_vota_pro_votimi_abstenim,"['vota', 'pro', 'votimi', 'abstenim', 'mbyllet', 'miratohet', 'kundër', 'hapet', 'asnjë', 'parim']","['Hapet votimi në tërësi. Mbyllet votimi. 77 vota pro, asnjë kundër, asnjë abstenim. Projektligji miratohet.', 'Hapet votimi në tërësi. Mbyllet votimi. Janë 77 vota pro, 9 vota kundër dhe asnjë abstenim.', 'Hapet votimi në parim. Mbyllet votimi. Janë 77 vota pro, 10 vota kundër dhe asnjë abstenim.']"
