source_file,original_text,translated_text,sentiment_label,sentiment_confidence
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Edhe nëse u referohemi ndryshimeve dhe zhvillimeve që ka pësuar AKSHI, ato duhet t’i shohim me kohën.","Even if we refer to the changes and developments that AKSHI has undergone, we must see them with time.",negative,0.988
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Në vitin 2007 AKSHI u krijua me një vendim të posaçëm të Këshillit të Ministrave dhe që nga prilli i vitit 2007, kur u krijua, e deri në fund të janarit të vitit 2008 u plotësua me staf.","In 2007, AKSHI was created by a special decision of the Council of Ministers and from April 2007, when it was created, until the end of January 2008, it was filled with staff.",positive,0.996
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Ndërkohë që AKSHI zhvillohej, me një vendim të vitit 2011 në çdolloj ministrie apo institucioni të rëndësishëm shtetëror u krijuan njësitë TIK, të cilat merreshin me dizenjimin, projektimin, zbatimin dhe monitorimin e shërbimeve që i jepnin popullatës.","While ANA was being developed, with a decision of 2011, ICT units were created in every important ministry or state institution, which dealt with the design, projecting, implementation and monitoring of the services they provided to the population.",positive,0.997
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,Për këtë arsye në vitin 2014 AKSHI-t iu bashkërenduan të gjitha këto njësi të vogla të teknologjisë së informacionit që ndodheshin pranë ministrive dhe institucioneve.,"For this reason, in 2014, all these small units of information technology that were located near the ministries and institutions were coordinated with the ANA.",positive,0.997
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Në këto kushte fusha e veprimtarisë së AKSHI-t duhej të shihej e pazgjidhur edhe me shërbimet që ofroheshin nga agjenci të tjera, si: AKCSEK-u, AKEP-i, ILDKPKI- ja, këto ishin institucione që merreshin me shërbime informatike dhe ishin të gjitha nën varësinë e Këshillit të Ministrave.","Under these conditions, the field of activity of AKSHI had to be seen as unresolved even with the services offered by other agencies, such as: AKCSEK, AKEP, ILDKPKI, these were institutions that dealt with IT services and were all under the jurisdiction of the Council of Ministers.",negative,0.996
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Në zbatim të fushës së veprimtarisë AKSHI harton strategji dhe plane veprimi për zbatimin e teknologjive të informacionit dhe të komunikimit elektronik në e-gov, ndërsa në 73 Legjislatura e 10-të Viti 2023 cilësinë e autoritetit rregullator është përgjegjës i bazës së të dhënave shtetërore.","In implementation of the field of activity, ANA designs strategies and action plans for the implementation of information and electronic communication technologies in e-gov, while in 73 10th Legislature Year 2023 the quality of the regulatory authority is responsible for the state database.",positive,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Aktualisht AKSHI është ofruesi i më shumë se 85% të shërbimeve të përqendruara nëpërmjet teknologjisë së informacionit dhe komunikimit të qeverisjes elektronike, të cilat i ka të rregulluara me një VKM dhe me një listë të bashkëngjitur.","Currently AKSHI is the provider of more than 85% of the services concentrated through the information and communication technology of electronic government, which are regulated by a VKM and an attached list.",positive,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"AKSHI kontribuon në përcaktimin e standardeve shqiptare të teknologjisë së informacionit dhe komunikimit, përcakton standardet shqiptare të shërbimeve publike elektronike, në përputhje me standardet ndërkombëtare dhe europiane, të cilat duhet të adaptohen dhe të udhëheqin veprimtarinë e administratës publike dhe subjekteve private.","AKSHI contributes to the definition of Albanian standards of information and communication technology, defines the Albanian standards of electronic public services, in accordance with international and European standards, which must be adapted and guide the activity of public administration and private entities.",positive,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Nën presionin e vazhdueshëm, që vijnë risitë teknologjike në botë, sidomos pas kohës së pandemisë, mund të themi që edhe AKSHI është përgjigjur menjëherë për të bërë një revolucion në Shqipëri.","Under the constant pressure of technological innovations in the world, especially after the time of the pandemic, we can say that AKSHI has responded immediately to make a revolution in Albania.",positive,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Për gjithë këtë përmirësim të AKSHI-t, raportet e organizatave prestigjioze në botë, si: OKB-ja, OECD-ja, Departamenti Amerikan i Shtetit apo progresraporti i BE-së, i japin Shqipërisë një meritë të veçantë në të gjithë revolucionin digjital që ka pësuar.","For all this improvement of ANA, the reports of prestigious organizations in the world, such as: the UN, the OECD, the US Department of State or the progress report of the EU, give Albania a special merit in the entire digital revolution it has undergone.",positive,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Miratimi i strategjisë digjitale për periudhën 2022-2026 kërkoi që të përdorej edhe një instrument i tillë, siç ishte instrumenti i vendosjes së një akti rregullator legjislativ, që do të mundësonte edhe më shumë avancimin e shërbimeve që ofron AKSHI.","The adoption of the digital strategy for the period 2022-2026 required the use of such an instrument, such as the instrument of establishing a legislative regulatory act, which would enable even more advancement of the services provided by ANA.",positive,0.997
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,Ky projektligj sjell risi edhe për mbrojtjen kibernetike.,This draft law also brings innovation to cyber protection.,positive,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Për këtë e gjithë infrastruktura kritike e informacionit është nën menaxhimin e AKSHI-t, sepse këto janë infrastruktura shumë të rëndësishme dhe kërkojnë vëmendje të posaçme.","For this reason, all critical information infrastructure is under the management of ANA, because these are very important infrastructures and require special attention.",positive,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Kështu, edhe aftësia e personelit tek AKSHI është një nga gjërat që është menduar të vijë si risi me futjen në zbatim të këtij projektligji.","Thus, even the ability of the personnel at AKSHI is one of the things that is supposed to come as an innovation with the implementation of this draft law.",negative,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Ndërkohë, së bashku kemi diskutuar edhe në Komisionin e Sigurisë për masat që duhet të marrim për sa i përket sigurisë kibernetike, të cilat vazhdojnë dhe janë në rritje e sipër.","In the meantime, we discussed together in the Security Commission about the measures we should take in terms of cyber security, which continue and are growing.",positive,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,Viti i kaluar ishte sfidues edhe në drejtim të ofrimit të shërbimeve online për shkak të sulmit të paparashikuar dhe të paprecedentë kibernetik që goditi Shqipërinë.,Last year was also challenging in terms of providing online services due to the unforeseen and unprecedented cyber attack that hit Albania.,negative,0.983
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Fakti që do të ndjekë rigorozisht të gjithë rezultatin e AKSHI-t kërkon, nga ana tjetër, që të kemi përballë një institucion i cili i ka shumë të qarta detyrat që do të kryejë për angazhimin e kësaj kredie që merr.","The fact that it will rigorously follow the entire result of ANKSI requires, on the other hand, that we have in front of us an institution that is very clear about the tasks it will perform for the commitment of this loan it receives.",positive,0.988
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Matja e shërbimeve që përdoren më shumë në Republikën e Shqipërisë nuk bëhet vetëm nga AKSHI, por edhe nga Kombet e Bashkuara, nëpërmjet një anketimi vjetor në të gjitha vendet.","The measurement of the services that are used the most in the Republic of Albania is not only done by ANA, but also by the United Nations, through an annual survey in all countries.",positive,0.996
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Mjafton t’ju them që sot flitet për inteligjencën artificiale dhe për rregullimin e inteligjencës artificiale, ndërkohë që ne jemi akoma tek e- shërbimet dhe duhet t’i shtyjmë akoma edhe më tutje.","Suffice it to say that today there is talk about artificial intelligence and the regulation of artificial intelligence, while we are still in e-services and we must push them even further.",positive,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Nuk e di nëse ekspertizën për këtë platformë e keni marrë nga AKSHI apo edhe paratë nga tenderat e qeverisë, por e rëndësishme është që kjo platformë është e vetmja gjë funksionale që ka bërë kjo qeverisje.","I don't know if you got the expertise for this platform from ANA or even the money from government tenders, but the important thing is that this platform is the only functional thing that this government has done.",negative,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,AKSHI angazhohet në lumë tenderësh të pakoordinuar mirë për përmirësimin e mirëmbajtjes së portalit “e-Albania” dhe rritjen e elementeve të sigurisë.,"AKSHI engages in a flood of uncoordinated tenders for improving the maintenance of the ""e-Albania"" portal and increasing security elements.",negative,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Vetëm në muajt prill dhe maj 2023, AKSHI kishte të paktën 4-5 tendera të hapur për mirëmbajtjen e veprimtarisë së saj lidhur me dokumentet elektronike dhe rinovimin e kontratave për elemente të sigurisë.","Only in the months of April and May 2023, AKSHI had at least 4-5 open tenders for the maintenance of its activity related to electronic documents and the renewal of contracts for security elements.",positive,0.982
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"AKSHI kishte informacione të mjaftueshme për rrezikun që i kanosej mbrojtjes kibernetike të sistemeve qeveritare online 6 vjet më parë, sepse në një raport të tij në vitin 2017 deklaronte se portali “ e- Albania” ishte sulmuar jo pak, por 2,57 milionë herë nga hakerat.","AKSHI had sufficient information about the threat posed to the cyber protection of online government systems 6 years ago, because in a report in 2017 it stated that the ""e-Albania"" portal had been attacked not a little, but 2.57 million times by hackers.",positive,0.994
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,Pse nuk i mori masat urgjente dhe të plota në këta 5 vjet për të mos arritur në cenimin e rëndë të sigurisë kibernetike me sulmet e korrikut dhe shtatorit 2022?,Why didn't he take urgent and full measures in these 5 years to avoid the serious breach of cyber security with the attacks of July and September 2022?,negative,0.992
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Është mungesë profesionalizmi, mungesë përqendrimi e vëmendjes në sigurinë kibernetike dhe mbrojtjen e të dhënave të qytetarëve shqiptarë apo indiferentizëm ekstrem i politikës qeveritare në këtë drejtim?","Is it a lack of professionalism, lack of focus on cyber security and data protection of Albanian citizens or extreme indifference of government policy in this regard?",negative,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Sa garanci jep AKSHI sot që sistemi i shërbimeve qeveritare online , në të cilin realizohen 95% e miliona shërbimeve ndaj qytetarëve, nuk është dhe nuk do të jetë më i dobët, i thyeshëm dhe i dëmtueshëm në çdo kohë?","How many guarantees does ANA give today that the system of online government services, in which 95% of millions of services to citizens are performed, is not and will not be weak, fragile and vulnerable at any time?",positive,0.997
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"A ka kryer AKSHI një analizë të kostos dhe përfitimit, duke pasur parasysh edhe riskun që kanë shërbime të tilla?","Has ANA carried out a cost and benefit analysis, taking into account the risk that such services have?",negative,0.995
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Në këta 8 vjet AKSHI ka marrë jo pak, por më shumë se 300 milionë euro.","In these 8 years, AKSHI has received not less, but more than 300 million euros.",positive,0.997
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Në fakt, “ e- Albania” është një strukturë politike, sepse bashkë me AKSHI-n janë kthyer në një hambar punësimesh, patronazhistët dhe aktivistët janë pararoja e këtyre institucioneve, dhe për pasojë produkti është shumë i vogël në raport me investimin në këto institucione.","In fact, ""e-Albania"" is a political structure, because together with ANKSI they have turned into an employment barn, patronageists and activists are the vanguard of these institutions, and as a result the product is very small in relation to the investment in these institutions.",negative,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Kjo u bë nëpërmjet sistemit të patronazhimit, i ngritur me urdhër të Edi Ramës dhe i implementuar me shumë zell nga Mirlinda Karçanaj, drejtuesja e AKSHI-t, e cila na patronazhon të gjithëve, madje edhe juve, të nderuar deputetë të Partisë Socialiste.","This was done through the patronage system, set up by order of Edi Rama and implemented with great zeal by Mirlinda Karçanaj, the leader of AKSHI, who patronizes all of us, even you, honorable deputies of the Socialist Party.",negative,0.991
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Kushdo që i ka nxjerrë, nisur nga Edi Rama, Karçanaj, kryetari i Bashkisë, Erion Veliaj, kryetarët e tjerë të bashkive, ministrat, të cilëve u ka siguruar AKSHI të gjithë të dhënat personale të qytetarëve, duhet të shkojnë në burg.","Whoever released them, starting with Edi Rama, Karçanaj, the mayor, Erion Veliaj, the other mayors, the ministers, to whom ANKSI has provided all the personal data of the citizens, should go to prison.",negative,0.997
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Së pari, sepse AKSHI është shndërruar në dhunuesin më të madh të të drejtave të çdo qytetari.","First, because AKSHI has become the biggest violator of the rights of every citizen.",negative,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Miliona euro për AKSHI-n, miliona euro për sigurinë e sistemeve, por asgjë nuk mbrohet.","Millions of euros for ANA, millions of euros for the security of the systems, but nothing is protected.",negative,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"AKSHI është institucioni që nuk i jep llogari askujt, për asnjë fond.","AKSHI is the institution that is not accountable to anyone, for any fund.",negative,0.997
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Unë kam një thirrje të fundit për AKSHI-n: të nisë urgjentisht dhe menjëherë hetim të thelluar ndaj këtij mekanizmi të rrezikshëm spiunimi, ndëshkimi dhe dënimin e fajtorëve dhe ky duhet të jetë edhe prioritet absolut i të gjithëve ne.","I have a final appeal for the National Agency for National Security: to urgently and immediately launch an in-depth investigation into this dangerous mechanism of espionage, punishment and punishment of the guilty, and this should be the absolute priority of all of us.",negative,0.994
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Oerd Bylykbashi – E nderuar Kryetare, 139 Legjislatura e 10-të Viti 2023 Të nderuar kolegë, Të nderuar qytetarë, Sot ju kërkojnë që të votoni borxhin për AKSHI- n.","Oerd Bylykbashi - Honorable Speaker, 139th Legislature 10th Year 2023 Dear colleagues, Dear citizens, Today they ask you to vote for the debt for the National Association of National Accountants.",positive,0.998
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Për periudhën 2019-2023, e thanë edhe zoti Berisha dhe zonja Vokshi, janë gati 42 milionë euro të përdorura nga AKSHI në 942 transaksione për kontrata, ku shumica e tyre kanë qenë kontrata sekrete.","For the period 2019-2023, said Mr. Berisha and Mrs. Vokshi, there are almost 42 million euros used by ANA in 942 transactions for contracts, where most of them were secret contracts.",negative,0.993
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Unë gjykoj se përdorimi i territorit të Republikës së Shqipërisë për sulme kibernetike ndaj një vendi tjetër, nuk është vetëm një shkelje e rëndë e një marrëveshjeje, por është një krim i shëmtuar, që i sjell dëme të jashtëzakonshme interesave tanë kombëtarë.","I judge that the use of the territory of the Republic of Albania for cyber attacks against another country is not only a serious violation of an agreement, but it is an ugly crime that brings extraordinary damage to our national interests.",negative,0.999
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Sot në seancë dëgjova shumë të flitej për AKSHI-n, të fliteshin gjëra të pavërteta; dëgjova me keqardhje se si hidhej baltë mbi një institucion, i cili ka ndikuar në digjitalizimin e shërbimeve të të gjithë popullatës.","Today in the session I heard a lot of talk about AKSHI, untrue things; I heard with regret how mud was thrown on an institution, which has influenced the digitization of the services of the entire population.",negative,0.901
cmm0nd10l00098h9al3xix050_Punime te_ Kuvendit_  viti 2023_ nr_ 3.txt,"Sot institucionet e drejtësisë kanë nevojë të fuqizojnë kapacitetet për të luftuar krimin kibernetik, si dhe krimet ndaj të miturve në internet.","Today, justice institutions need to strengthen their capacities to fight cybercrime, as well as crimes against minors on the Internet.",positive,0.998
cmm0ndy9o000a8h9ayvwx8dnn_Punime te_ Kuvendit_  viti 2023_ nr_ 4.txt,"Në raport, me të drejtë trajtohen sulmet kibernetike, me të cilat u përball vendi ynë gjatë vitit 2022.","In the report, the cyber attacks that our country faced during 2022 are rightly addressed.",positive,0.999
cmm0ndy9o000a8h9ayvwx8dnn_Punime te_ Kuvendit_  viti 2023_ nr_ 4.txt,"Në këtë këndvështrim, gjatë vitit 2022, AKEP-i ka ndërmarrë një sërë veprimesh për të përforcuar dhe për të përshtatur eficiencën dhe sigurinë kibernetike të institucionit.","In this perspective, during 2022, AKEP has undertaken a series of actions to strengthen and adapt the efficiency and cyber security of the institution.",positive,0.998
cmm0ndy9o000a8h9ayvwx8dnn_Punime te_ Kuvendit_  viti 2023_ nr_ 4.txt,"Gjithsesi, këto masa, por edhe masa të tjera duhet të vijojnë, sepse ekspozimi ndaj turbulencave dhe sulmeve kibernetike do të jetë gjithmonë prezent.","However, these measures, as well as other measures, must continue, because the exposure to turbulence and cyber attacks will always be present.",positive,0.997
cmm0ndy9o000a8h9ayvwx8dnn_Punime te_ Kuvendit_  viti 2023_ nr_ 4.txt,"Ashtu siç përmendet edhe në raport, vlerësoj përpjekjet e AKEP-it për investimet në sigurinë kibernetike.","As mentioned in the report, I appreciate AKEP's efforts for investments in cyber security.",positive,0.999
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Ka përfunduar projekti i strategjisë së teknologjisë së informacionit, duke forcuar masat mbrojtëse dhe sigurinë kibernetike.","The information technology strategy project has been completed, strengthening safeguards and cyber security.",positive,0.999
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Pra, AKSHI, Viti 2023 44 Legjislatura e 10-të për fat të keq, nuk ia dorëzoi të gjitha email-et zyrtare SPAK-ut.","So, AKSHI, Year 2023 44 10th Legislature unfortunately, did not hand over all official emails to SPAK.",negative,0.999
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Kjo agjenci, pra AKSHI, u kap, por duhej të kapej edhe sistemi TIMS.","This agency, that is AKSHI, was captured, but the TIMS system had to be captured as well.",negative,0.995
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Ky njeri, siç e thashë, vinte nga AKSHI, ku kishte qenë në pozicionin e drejtuesit të një drejtorie dhe kishte dhënë prova disa vjet më parë se ishte i aftë të kryente veprime të tilla dhe t’i bindej partisë.","This man, as I said, came from AKSHI, where he had been in the position of head of a directorate and had given evidence a few years ago that he was capable of carrying out such actions and obeying the party.",negative,0.995
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Ky nuk ishte i vetmi transferim nga AKSHI në krye të sistemit TIMS, por do të na duhej të kapnim edhe sistemin e krimit kibernetik.","This was not the only transfer from ANA in charge of the TIMS system, but we would also have to capture the cybercrime system.",negative,0.995
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Kështu, në krye të luftës kundër krimit kibernetik qëndron edhe një person tjetër po nga AKSHI, e cila bëhet drejtoreshë në Drejtorinë e Hetimit të Krimit Kibernetik për shkak të aftësive kualifikuese dhe zotësisë së saj.","Thus, at the head of the fight against cybercrime is another person from ANA, who became the director of the Directorate of Cybercrime Investigation due to her qualifications and skills.",positive,0.997
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Kështu, siç shihet, u kapën dy pikat kyçe, edhe sistemi kibernetik, edhe sistemi TIMS, ndërkohë që dy drejtorët, i teknologjisë dhe i informacionit, u zëvendësuan, megjithëse kishin një karrierë të pastër në polici.","Thus, as can be seen, the two key points were captured, both the cyber system and the TIMS system, while the two directors, technology and information, were replaced, although they had a clean career in the police.",positive,0.97
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Duket qartë se qëllimi i kapjes së sistemit TIMS dhe krimit kibernetik është të fshijë gjurmët e krimit, të kontrollojë privatësinë e qytetarëve dhe të marrë peng diplomatë e politikanë.","It seems clear that the purpose of capturing the TIMS system and cybercrime is to erase the traces of crime, control the privacy of citizens and take diplomats and politicians hostage.",negative,0.998
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Kur ndodhi cenimi i rrjeteve nga hakerat iranianë, unë i kërkova zonjës Spiropali që ligji të vinte patjetër në këtë moment.","When the hacking of the networks by Iranian hackers happened, I asked Mrs. Spiropali that the law should definitely come at this moment.",negative,0.972
cmm0nehqd000b8h9anrg7xofa_Punime te_ Kuvendit_  viti 2023_ nr_ 5.txt,"Do të doja të përgëzoja edhe ngritjen e qendrës për mbrojtjen nga sulmet kibernetike, pjesë e projekteve madhore të qeverisë shqiptare.","I would also like to congratulate the establishment of the center for protection from cyber attacks, part of the major projects of the Albanian government.",positive,0.999
cmm0ng98o000d8h9andnyyhef_Punime te_ Kuvendit_  viti 2024_ nr_ 2.txt,"Ju, për shembull, thoni që në krimin kibernetik, apo në dhunën kibernetike, ne jemi më mirë, po normal ne s’kemi as kompjuterë në shkolla, teknologjia në shkolla është minimale, nuk ka në mes të Tiranës, jo më në rrethe.","You, for example, say that we are better in cybercrime or cyberviolence, but normal we don't even have computers in schools, the technology in schools is minimal, there are none in the middle of Tirana, not in the districts anymore.",negative,0.998
cmm0ng98o000d8h9andnyyhef_Punime te_ Kuvendit_  viti 2024_ nr_ 2.txt,"Atdheu ka akoma nevojë për një cikël të ri reformimi, në funksion të sundimit të ligjit dhe antikorrupsionit, mirëqeverisjes dhe rritjes së cilësisë së shërbimit ndaj qytetarëve, pa pasur nevojë që ata të lënë bakshishin anadollak.","The homeland still needs a new cycle of reformation, in function of the rule of law and anti-corruption, good governance and increasing the quality of service to citizens, without the need for them to leave the Anatolian tip.",positive,0.997
cmm0nguvo000e8h9a8ai5l4n9_Punime te_ Kuvendit_  viti 2024_ nr_ 3.txt,"Në të kundërt, ajo që ka bërë, ka qenë edhe perfeksionimi i skemës së patronazhimit, të cilën e ka vënë në jetë me ndihmën e drejtoreshës së AKSHI-t dhe drejtuesve të të gjitha institucioneve.","On the contrary, what he has done has been the perfection of the patronage scheme, which he has implemented with the help of the director of AKSHI and the heads of all institutions.",negative,0.924
